treatment_num,salinity_treat,temp_treat,replicate_num,spore_release_date,analysis_date,days_post_release,settled_spore_count,settled_germ_tube_spores,area_um2,settled_spore_density,germ_tube_density,settlement_density,gam_count,gam_density,gam_percent_cover,avg_gam_size_um2,stdev_gam_size,gam_growth_rate,male_gam,female_gam,m_f_ratio,sporophyte_height_mm,blade_num,blade_length,blade_width,blade_thickness,blade_area,cross_sec_num,cell_type,cell_num,cell_area,chlorophyll_conc
1,amb,amb,1,2024-04-30,2024-05-02,2,14,22,33.27064,0.420791425,0.661243667,1.082035092,,,,,,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-02,2,11,13,33.27064,0.330621834,0.390734894,0.721356728,,,,,,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-02,2,50,13,33.27064,1.502826516,0.390734894,1.89356141,,,,,,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-02,2,27,1,33.27064,0.811526319,0.03005653,0.841582849,,,,,,,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-02,2,25,33,33.27064,0.751413258,0.991865501,1.743278759,,,,,,,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-02,2,21,15,33.27064,0.631187137,0.450847955,1.082035092,,,,,,,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-02,2,8,2,33.27064,0.240452243,0.060113061,0.300565303,,,,,,,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-02,2,30,3,33.27064,0.90169591,0.090169591,0.991865501,,,,,,,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-02,2,13,14,33.27064,0.390734894,0.420791425,0.811526319,,,,,,,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-02,2,24,23,33.27064,0.721356728,0.691300197,1.412656925,,,,,,,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-02,2,19,20,33.27064,0.571074076,0.601130606,1.172204683,,,,,,,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-02,2,16,8,33.27064,0.480904485,0.240452243,0.721356728,,,,,,,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-02,2,9,15,33.27064,0.270508773,0.450847955,0.721356728,,,,,,,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-02,2,11,11,33.27064,0.330621834,0.330621834,0.661243667,,,,,,,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-02,2,22,10,33.27064,0.661243667,0.300565303,0.96180897,,,,,,,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-02,2,11,14,33.27064,0.330621834,0.420791425,0.751413258,,,,,,,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-02,2,13,30,33.27064,0.390734894,0.90169591,1.292430804,,,,,,,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-02,2,18,23,33.27064,0.541017546,0.691300197,1.232317743,,,,,,,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-02,2,18,0,33.27064,0.541017546,0,0.541017546,,,,,,,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-02,2,14,5,33.27064,0.420791425,0.150282652,0.571074076,,,,,,,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-02,2,14,6,33.27064,0.420791425,0.180339182,0.601130606,,,,,,,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-02,2,21,14,33.27064,0.631187137,0.420791425,1.051978561,,,,,,,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-02,2,26,18,33.27064,0.781469788,0.541017546,1.322487334,,,,,,,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-02,2,33,10,33.27064,0.991865501,0.300565303,1.292430804,,,,,,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-02,9,,,47.15128,,,,23,0.487791636,0.223300,0.004577,0.001166,,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-02,9,,,48.03175,,,,21,0.437210803,0.182200,0.004168,0.000684,,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-02,9,,,48.3573,,,,59,1.220084661,0.489200,0.004009,0.001446,,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-02,9,,,49.4354,,,,37,0.748451515,0.310900,0.004154,0.001302,,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-02,9,,,48.92376,,,,35,0.715398816,0.249200,0.003483,0.001029,,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-02,9,,,48.6554,,,,28,0.575475692,0.192200,0.00334,0.000832,,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-02,9,,,48.5189,,,,9,0.185494725,0.086900,0.004684,0.00264,,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-02,9,,,48.6888,,,,25,0.513465109,0.255600,0.004979,0.001112,,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-02,9,,,48.77899,,,,16,0.328010072,0.159800,0.004872,0.002061,,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-02,9,,,48.42685,,,,47,0.970535973,0.370700,0.00382,0.001183,,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-02,9,,,48.7398,,,,40,0.820684533,0.441700,0.005382,0.001486,,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-02,9,,,48.83088,,,,17,0.348140357,0.141100,0.004054,0.000944,,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-02,9,,,48.50624,,,,47,0.9689475,0.442800,0.00457,0.001491,,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-02,9,,,49.0325,,,,27,0.550655178,0.327700,0.005951,0.001644,,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-02,9,,,49.12863,,,,27,0.549577711,0.271300,0.004937,0.001117,,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-02,9,,,49.04187,,,,30,0.611722188,0.376900,0.006162,0.001746,,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-02,9,,,49.23927,,,,58,1.177921606,0.607400,0.005156,0.001378,,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-02,9,,,49.32307,,,,55,1.11509685,0.663400,0.005949,0.0015,,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-02,9,,,48.57148,,,,9,0.185293921,0.093100,0.005023,0.001189,,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-02,9,,,49.18259,,,,13,0.264321175,0.142100,0.005377,0.001448,,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-02,9,,,49.50475,,,,11,0.2222009,0.082900,0.00373,0.001157,,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-02,9,,,49.81873,,,,16,0.321164349,0.159300,0.00496,0.001896,,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-02,9,,,49.61315,,,,14,0.282183252,0.131300,0.004654,0.001484,,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-02,9,,,49.7928,,,,24,0.481997397,0.198400,0.004117,0.001532,,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-15,15,,,48.44295,,,,31,0.639927998,0.565500,0.008836452,0.003506253,0.000283963,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-15,15,,,48.07343,,,,23,0.478434761,0.392000,0.008193913,0.002223204,0.000268394,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-15,15,,,47.99973,,,,18,0.375002109,0.257800,0.006873333,0.001729464,0.000190956,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-15,15,,,48.27347,,,,25,0.517882804,0.400900,0.007742,0.001955228,0.0002392,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-15,15,,,48.75856,,,,31,0.635785798,0.403400,0.006344839,0.001665987,0.000190789,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-15,15,,,48.14484,,,,27,0.560807763,0.373800,0.006665926,0.002269365,0.000221728,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-15,15,,,48.9078,,,,6,0.122679818,0.057700,0.004706667,0.001143463,1.51113E-06,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-15,15,,,48.36058,,,,25,0.516949962,0.464600,0.008988,0.002528982,0.000267267,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-15,15,,,48.55059,,,,22,0.453135585,0.306700,0.006768182,0.002019002,0.000126412,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-15,15,,,48.58477,,,,38,0.782138106,0.574200,0.007341842,0.00193087,0.000234789,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-15,15,,,46.03026,,,,49,1.064517124,0.906200,0.008512449,0.002030326,0.000208697,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-15,15,,,48.63699,,,,20,0.411209658,0.292600,0.0071165,0.002184014,0.000204167,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-15,15,,,48.8868,,,,42,0.859127617,0.543800,0.00633,0.001645676,0.000117333,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-15,15,,,48.87536,,,,25,0.511505184,0.416700,0.0081472,0.001943497,0.000146413,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-15,15,,,49.21489,,,,39,0.7924431,0.522300,0.006591282,0.001475427,0.000110285,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-15,15,,,48.9751,,,,22,0.449207863,0.377200,0.008396818,0.00199105,0.000148988,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-15,15,,,49.04291,,,,31,0.632099523,0.471700,0.007462258,0.001645822,0.000153751,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-15,15,,,48.31192,,,,30,0.620964764,0.496000,0.007988,0.002034657,0.000135933,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-15,15,,,48.56565,,,,7,0.144134795,0.160100,0.011105714,0.007652873,0.000405514,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-15,15,,,48.82855,,,,9,0.184318396,0.241600,0.01311,0.006750385,0.000515533,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-15,15,,,48.45146,,,,20,0.412784259,0.312500,0.0075695,0.003158408,0.000255967,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-15,15,,,48.78893,,,,7,0.143475169,0.130600,0.009104286,0.002175851,0.000276286,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-15,15,,,49.30215,,,,18,0.36509564,0.224500,0.006148889,0.001213798,9.96593E-05,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-15,15,,,48.88454,,,,22,0.450040033,0.235300,0.005227727,0.0015381,7.40485E-05,,,,,,,,,,,,,,
1,amb,amb,1,2024-04-30,2024-05-22,22,,,49.1065,,,,24,0.488733671,0.589100,0.012054167,0.004932637,0.00014626,,,,,,,,,,,,,,
1,amb,amb,2,2024-04-30,2024-05-22,22,,,49.47298,,,,22,0.444687181,0.472900,0.010633636,0.003505562,0.000110897,,,,,,,,,,,,,,
1,amb,amb,3,2024-04-30,2024-05-22,22,,,49.75656,,,,43,0.864207654,1.136500,0.01315093,0.003192858,0.000285345,,,,,,,,,,,,,,
1,amb,amb,4,2024-04-30,2024-05-22,22,,,49.66478,,,,9,0.181214937,0.164900,0.009102222,0.003503968,6.18283E-05,,,,,,,,,,,,,,
1,amb,amb,5,2024-04-30,2024-05-22,22,,,49.51444,,,,36,0.727060631,0.756300,0.0104025,0.002925548,0.000184439,,,,,,,,,,,,,,
1,amb,amb,6,2024-04-30,2024-05-22,22,,,49.96924,,,,25,0.500307789,0.847900,0.0169484,0.004926412,0.000467385,,,,,,,,,,,,,,
2,amb,inc,1,2024-04-30,2024-05-22,22,,,49.18992,,,,7,0.142305578,0.115100,0.00809,0.003306242,0.000153788,,,,,,,,,,,,,,
2,amb,inc,2,2024-04-30,2024-05-22,22,,,49.01756,,,,28,0.571223863,0.716500,0.0125425,0.004245623,0.000161568,,,,,,,,,,,,,,
2,amb,inc,3,2024-04-30,2024-05-22,22,,,49.62941,,,,20,0.402986858,0.551900,0.013694,0.0033352,0.00031481,,,,,,,,,,,,,,
2,amb,inc,4,2024-04-30,2024-05-22,22,,,49.72795,,,,31,0.623391875,1.095800,0.01757871,0.005747049,0.000465312,,,,,,,,,,,,,,
2,amb,inc,5,2024-04-30,2024-05-22,22,,,49.49914,,,,31,0.626273507,0.836800,0.013361613,0.003165471,0.000220417,,,,,,,,,,,,,,
2,amb,inc,6,2024-04-30,2024-05-22,22,,,49.88998,,,,34,0.681499572,0.816200,0.011976765,0.004984971,0.000220921,,,,,,,,,,,,,,
3,dec,amb,1,2024-04-30,2024-05-22,22,,,49.26469,,,,44,0.893134616,1.220100,0.013661136,0.004285329,0.000333233,,,,,,,,,,,,,,
3,dec,amb,2,2024-04-30,2024-05-22,22,,,49.57576,,,,38,0.76650363,0.965700,0.012598947,0.003748699,0.000202352,,,,,,,,,,,,,,
3,dec,amb,3,2024-04-30,2024-05-22,22,,,49.34812,,,,41,0.830832056,1.108400,0.013340244,0.004819531,0.000306771,,,,,,,,,,,,,,
3,dec,amb,4,2024-04-30,2024-05-22,22,,,49.95702,,,,18,0.360309722,0.446700,0.012398333,0.003586086,0.000181887,,,,,,,,,,,,,,
3,dec,amb,5,2024-04-30,2024-05-22,22,,,49.20474,,,,43,0.873899547,1.146700,0.013122093,0.005090495,0.000257265,,,,,,,,,,,,,,
3,dec,amb,6,2024-04-30,2024-05-22,22,,,49.22187,,,,17,0.345374932,0.492200,0.014250588,0.00514025,0.000284663,,,,,,,,,,,,,,
4,dec,inc,1,2024-04-30,2024-05-22,22,,,49.20484,,,,4,0.081292816,0.250800,0.030855,0.022643534,0.000897695,,,,,,,,,,,,,,
4,dec,inc,2,2024-04-30,2024-05-22,22,,,49.71591,,,,3,0.060342856,0.263300,0.043633333,0.005505055,0.001387424,,,,,,,,,,,,,,
4,dec,inc,3,2024-04-30,2024-05-22,22,,,49.34557,,,,11,0.22291768,0.563200,0.025262727,0.007291796,0.000804238,,,,,,,,,,,,,,
4,dec,inc,4,2024-04-30,2024-05-22,22,,,48.90331,,,,7,0.143139595,0.294400,0.020565714,0.011890001,0.000520974,,,,,,,,,,,,,,
4,dec,inc,5,2024-04-30,2024-05-22,22,,,48.94646,,,,16,0.326887787,0.505100,0.015453125,0.004519769,0.00042292,,,,,,,,,,,,,,
4,dec,inc,6,2024-04-30,2024-05-22,22,,,49.08045,,,,14,0.285245958,0.610800,0.021412143,0.012009922,0.000735655,,,,,,,,,,,,,,
